"city","date","cases","cases_cumulative","country","continent"
"Amsterdam",2020-03-13,0,0,"Netherlands","Europe"
"Amsterdam",2020-03-14,11,11,"Netherlands","Europe"
"Amsterdam",2020-03-15,0,11,"Netherlands","Europe"
"Amsterdam",2020-03-16,8,19,"Netherlands","Europe"
"Amsterdam",2020-03-17,17,36,"Netherlands","Europe"
"Amsterdam",2020-03-18,5,41,"Netherlands","Europe"
"Amsterdam",2020-03-19,24,65,"Netherlands","Europe"
"Amsterdam",2020-03-20,78,143,"Netherlands","Europe"
"Amsterdam",2020-03-21,0,143,"Netherlands","Europe"
"Amsterdam",2020-03-22,27,170,"Netherlands","Europe"
"Amsterdam",2020-03-23,15,185,"Netherlands","Europe"
"Amsterdam",2020-03-24,47,232,"Netherlands","Europe"
"Amsterdam",2020-03-25,47,279,"Netherlands","Europe"
"Amsterdam",2020-03-26,54,333,"Netherlands","Europe"
"Amsterdam",2020-03-27,62,395,"Netherlands","Europe"
"Amsterdam",2020-03-28,68,463,"Netherlands","Europe"
"Amsterdam",2020-03-29,55,518,"Netherlands","Europe"
"Amsterdam",2020-03-30,40,558,"Netherlands","Europe"
"Amsterdam",2020-03-31,48,606,"Netherlands","Europe"
"Amsterdam",2020-04-01,48,654,"Netherlands","Europe"
"Amsterdam",2020-04-02,56,710,"Netherlands","Europe"
"Amsterdam",2020-04-03,41,751,"Netherlands","Europe"
"Amsterdam",2020-04-04,47,798,"Netherlands","Europe"
"Amsterdam",2020-04-05,69,867,"Netherlands","Europe"
"Amsterdam",2020-04-06,29,896,"Netherlands","Europe"
"Amsterdam",2020-04-07,24,920,"Netherlands","Europe"
"Amsterdam",2020-04-08,11,931,"Netherlands","Europe"
"Amsterdam",2020-04-09,53,984,"Netherlands","Europe"
"Amsterdam",2020-04-10,83,1067,"Netherlands","Europe"
"Amsterdam",2020-04-11,50,1117,"Netherlands","Europe"
"Amsterdam",2020-04-12,45,1162,"Netherlands","Europe"
"Barcelona",2020-03-01,4,4,"Spain","Europe"
"Barcelona",2020-03-02,2,6,"Spain","Europe"
"Barcelona",2020-03-03,5,11,"Spain","Europe"
"Barcelona",2020-03-04,3,14,"Spain","Europe"
"Barcelona",2020-03-05,9,23,"Spain","Europe"
"Barcelona",2020-03-06,4,27,"Spain","Europe"
"Barcelona",2020-03-07,6,33,"Spain","Europe"
"Barcelona",2020-03-08,9,42,"Spain","Europe"
"Barcelona",2020-03-09,29,71,"Spain","Europe"
"Barcelona",2020-03-10,58,129,"Spain","Europe"
"Barcelona",2020-03-11,62,191,"Spain","Europe"
"Barcelona",2020-03-12,119,310,"Spain","Europe"
"Barcelona",2020-03-13,193,503,"Spain","Europe"
"Barcelona",2020-03-14,122,625,"Spain","Europe"
"Barcelona",2020-03-15,153,778,"Spain","Europe"
"Barcelona",2020-03-16,417,1195,"Spain","Europe"
"Barcelona",2020-03-17,407,1602,"Spain","Europe"
"Barcelona",2020-03-18,454,2056,"Spain","Europe"
"Barcelona",2020-03-19,457,2513,"Spain","Europe"
"Barcelona",2020-03-20,528,3041,"Spain","Europe"
"Barcelona",2020-03-21,329,3370,"Spain","Europe"
"Barcelona",2020-03-22,276,3646,"Spain","Europe"
"Barcelona",2020-03-23,673,4319,"Spain","Europe"
"Barcelona",2020-03-24,566,4885,"Spain","Europe"
"Barcelona",2020-03-25,538,5423,"Spain","Europe"
"Barcelona",2020-03-26,516,5939,"Spain","Europe"
"Barcelona",2020-03-27,443,6382,"Spain","Europe"
"Barcelona",2020-03-28,311,6693,"Spain","Europe"
"Barcelona",2020-03-29,259,6952,"Spain","Europe"
"Barcelona",2020-03-30,472,7424,"Spain","Europe"
"Barcelona",2020-03-31,358,7782,"Spain","Europe"
"Barcelona",2020-04-01,378,8160,"Spain","Europe"
"Barcelona",2020-04-02,313,8473,"Spain","Europe"
"Barcelona",2020-04-03,353,8826,"Spain","Europe"
"Barcelona",2020-04-04,215,9041,"Spain","Europe"
"Barcelona",2020-04-05,155,9196,"Spain","Europe"
"Barcelona",2020-04-06,328,9524,"Spain","Europe"
"Barcelona",2020-04-07,300,9824,"Spain","Europe"
"Barcelona",2020-04-08,389,10213,"Spain","Europe"
"Barcelona",2020-04-09,327,10540,"Spain","Europe"
"Barcelona",2020-04-10,260,10800,"Spain","Europe"
"Barcelona",2020-04-11,243,11043,"Spain","Europe"
"Barcelona",2020-04-12,209,11252,"Spain","Europe"
"Berlin",2020-02-29,1,1,"Germany","Europe"
"Berlin",2020-03-03,6,7,"Germany","Europe"
"Berlin",2020-03-04,3,10,"Germany","Europe"
"Berlin",2020-03-05,10,20,"Germany","Europe"
"Berlin",2020-03-06,5,25,"Germany","Europe"
"Berlin",2020-03-07,1,26,"Germany","Europe"
"Berlin",2020-03-08,11,37,"Germany","Europe"
"Berlin",2020-03-09,21,58,"Germany","Europe"
"Berlin",2020-03-10,33,91,"Germany","Europe"
"Berlin",2020-03-11,41,132,"Germany","Europe"
"Berlin",2020-03-12,47,179,"Germany","Europe"
"Berlin",2020-03-13,59,238,"Germany","Europe"
"Berlin",2020-03-14,29,267,"Germany","Europe"
"Berlin",2020-03-15,26,293,"Germany","Europe"
"Berlin",2020-03-16,63,356,"Germany","Europe"
"Berlin",2020-03-17,92,448,"Germany","Europe"
"Berlin",2020-03-18,145,593,"Germany","Europe"
"Berlin",2020-03-19,180,773,"Germany","Europe"
"Berlin",2020-03-20,169,942,"Germany","Europe"
"Berlin",2020-03-21,127,1069,"Germany","Europe"
"Berlin",2020-03-22,68,1137,"Germany","Europe"
"Berlin",2020-03-23,159,1296,"Germany","Europe"
"Berlin",2020-03-24,199,1495,"Germany","Europe"
"Berlin",2020-03-25,244,1739,"Germany","Europe"
"Berlin",2020-03-26,286,2025,"Germany","Europe"
"Berlin",2020-03-27,205,2230,"Germany","Europe"
"Berlin",2020-03-28,200,2430,"Germany","Europe"
"Berlin",2020-03-29,86,2516,"Germany","Europe"
"Berlin",2020-03-30,167,2683,"Germany","Europe"
"Berlin",2020-03-31,213,2896,"Germany","Europe"
"Berlin",2020-04-01,187,3083,"Germany","Europe"
"Berlin",2020-04-02,237,3320,"Germany","Europe"
"Berlin",2020-04-03,238,3558,"Germany","Europe"
"Berlin",2020-04-04,107,3665,"Germany","Europe"
"Berlin",2020-04-05,78,3743,"Germany","Europe"
"Berlin",2020-04-06,142,3885,"Germany","Europe"
"Berlin",2020-04-07,202,4087,"Germany","Europe"
"Berlin",2020-04-08,177,4264,"Germany","Europe"
"Berlin",2020-04-09,177,4441,"Germany","Europe"
"Berlin",2020-04-10,83,4524,"Germany","Europe"
"Berlin",2020-04-11,87,4611,"Germany","Europe"
"Berlin",2020-04-12,54,4665,"Germany","Europe"
"Birmingham",2020-03-01,1,1,"United Kingdom","Europe"
"Birmingham",2020-03-02,1,2,"United Kingdom","Europe"
"Birmingham",2020-03-03,0,2,"United Kingdom","Europe"
"Birmingham",2020-03-04,0,2,"United Kingdom","Europe"
"Birmingham",2020-03-05,1,3,"United Kingdom","Europe"
"Birmingham",2020-03-06,0,3,"United Kingdom","Europe"
"Birmingham",2020-03-07,0,3,"United Kingdom","Europe"
"Birmingham",2020-03-08,1,4,"United Kingdom","Europe"
"Birmingham",2020-03-09,1,5,"United Kingdom","Europe"
"Birmingham",2020-03-10,4,9,"United Kingdom","Europe"
"Birmingham",2020-03-11,6,15,"United Kingdom","Europe"
"Birmingham",2020-03-12,7,22,"United Kingdom","Europe"
"Birmingham",2020-03-13,14,36,"United Kingdom","Europe"
"Birmingham",2020-03-14,7,43,"United Kingdom","Europe"
"Birmingham",2020-03-15,12,55,"United Kingdom","Europe"
"Birmingham",2020-03-16,15,70,"United Kingdom","Europe"
"Birmingham",2020-03-17,24,94,"United Kingdom","Europe"
"Birmingham",2020-03-18,32,126,"United Kingdom","Europe"
"Birmingham",2020-03-19,35,161,"United Kingdom","Europe"
"Birmingham",2020-03-20,52,213,"United Kingdom","Europe"
"Birmingham",2020-03-21,30,243,"United Kingdom","Europe"
"Birmingham",2020-03-22,25,268,"United Kingdom","Europe"
"Birmingham",2020-03-23,65,333,"United Kingdom","Europe"
"Birmingham",2020-03-24,67,400,"United Kingdom","Europe"
"Birmingham",2020-03-25,61,461,"United Kingdom","Europe"
"Birmingham",2020-03-26,92,553,"United Kingdom","Europe"
"Birmingham",2020-03-27,70,623,"United Kingdom","Europe"
"Birmingham",2020-03-28,80,703,"United Kingdom","Europe"
"Birmingham",2020-03-29,107,810,"United Kingdom","Europe"
"Birmingham",2020-03-30,122,932,"United Kingdom","Europe"
"Birmingham",2020-03-31,131,1063,"United Kingdom","Europe"
"Birmingham",2020-04-01,108,1171,"United Kingdom","Europe"
"Birmingham",2020-04-02,102,1273,"United Kingdom","Europe"
"Birmingham",2020-04-03,81,1354,"United Kingdom","Europe"
"Birmingham",2020-04-04,88,1442,"United Kingdom","Europe"
"Birmingham",2020-04-05,72,1514,"United Kingdom","Europe"
"Birmingham",2020-04-06,64,1578,"United Kingdom","Europe"
"Birmingham",2020-04-07,84,1662,"United Kingdom","Europe"
"Birmingham",2020-04-08,83,1745,"United Kingdom","Europe"
"Birmingham",2020-04-09,53,1798,"United Kingdom","Europe"
"Birmingham",2020-04-10,60,1858,"United Kingdom","Europe"
"Birmingham",2020-04-11,33,1891,"United Kingdom","Europe"
"Birmingham",2020-04-12,48,1939,"United Kingdom","Europe"
"Boston",2020-02-01,0,0,"United States","North America"
"Boston",2020-02-02,0,0,"United States","North America"
"Boston",2020-02-03,0,0,"United States","North America"
"Boston",2020-02-04,0,0,"United States","North America"
"Boston",2020-02-05,0,0,"United States","North America"
"Boston",2020-02-06,0,0,"United States","North America"
"Boston",2020-02-07,0,0,"United States","North America"
"Boston",2020-02-08,0,0,"United States","North America"
"Boston",2020-02-09,0,0,"United States","North America"
"Boston",2020-02-10,0,0,"United States","North America"
"Boston",2020-02-11,0,0,"United States","North America"
"Boston",2020-02-12,0,0,"United States","North America"
"Boston",2020-02-13,0,0,"United States","North America"
"Boston",2020-02-14,0,0,"United States","North America"
"Boston",2020-02-15,0,0,"United States","North America"
"Boston",2020-02-16,0,0,"United States","North America"
"Boston",2020-02-17,0,0,"United States","North America"
"Boston",2020-02-18,0,0,"United States","North America"
"Boston",2020-02-19,0,0,"United States","North America"
"Boston",2020-02-20,0,0,"United States","North America"
"Boston",2020-02-21,0,0,"United States","North America"
"Boston",2020-02-22,0,0,"United States","North America"
"Boston",2020-02-23,0,0,"United States","North America"
"Boston",2020-02-24,0,0,"United States","North America"
"Boston",2020-02-25,0,0,"United States","North America"
"Boston",2020-02-26,0,0,"United States","North America"
"Boston",2020-02-27,0,0,"United States","North America"
"Boston",2020-02-28,0,0,"United States","North America"
"Boston",2020-02-29,0,0,"United States","North America"
"Boston",2020-03-01,0,0,"United States","North America"
"Boston",2020-03-02,0,0,"United States","North America"
"Boston",2020-03-03,0,0,"United States","North America"
"Boston",2020-03-04,0,0,"United States","North America"
"Boston",2020-03-05,0,0,"United States","North America"
"Boston",2020-03-06,3,3,"United States","North America"
"Boston",2020-03-07,0,3,"United States","North America"
"Boston",2020-03-08,5,8,"United States","North America"
"Boston",2020-03-09,1,9,"United States","North America"
"Boston",2020-03-10,10,19,"United States","North America"
"Boston",2020-03-11,0,19,"United States","North America"
"Boston",2020-03-12,2,21,"United States","North America"
"Boston",2020-03-13,4,25,"United States","North America"
"Boston",2020-03-14,1,26,"United States","North America"
"Boston",2020-03-15,4,30,"United States","North America"
"Boston",2020-03-16,11,41,"United States","North America"
"Boston",2020-03-17,0,41,"United States","North America"
"Boston",2020-03-18,9,50,"United States","North America"
"Boston",2020-03-19,21,71,"United States","North America"
"Boston",2020-03-20,15,86,"United States","North America"
"Boston",2020-03-21,21,107,"United States","North America"
"Boston",2020-03-22,18,125,"United States","North America"
"Boston",2020-03-23,28,153,"United States","North America"
"Boston",2020-03-24,80,233,"United States","North America"
"Boston",2020-03-25,108,341,"United States","North America"
"Boston",2020-03-26,106,447,"United States","North America"
"Boston",2020-03-27,183,630,"United States","North America"
"Boston",2020-03-28,212,842,"United States","North America"
"Boston",2020-03-29,97,939,"United States","North America"
"Boston",2020-03-30,175,1114,"United States","North America"
"Boston",2020-03-31,258,1372,"United States","North America"
"Boston",2020-04-01,251,1623,"United States","North America"
"Boston",2020-04-02,272,1895,"United States","North America"
"Boston",2020-04-03,287,2182,"United States","North America"
"Boston",2020-04-04,246,2428,"United States","North America"
"Boston",2020-04-05,229,2657,"United States","North America"
"Boston",2020-04-06,271,2928,"United States","North America"
"Boston",2020-04-07,316,3244,"United States","North America"
"Boston",2020-04-08,355,3599,"United States","North America"
"Boston",2020-04-09,441,4040,"United States","North America"
"Boston",2020-04-10,493,4533,"United States","North America"
"Boston",2020-04-11,392,4925,"United States","North America"
"Boston",2020-04-12,433,5358,"United States","North America"
"Brussels",2020-03-01,6,6,"Belgium","Europe"
"Brussels",2020-03-02,4,10,"Belgium","Europe"
"Brussels",2020-03-03,2,12,"Belgium","Europe"
"Brussels",2020-03-04,5,17,"Belgium","Europe"
"Brussels",2020-03-05,2,19,"Belgium","Europe"
"Brussels",2020-03-06,9,28,"Belgium","Europe"
"Brussels",2020-03-07,5,33,"Belgium","Europe"
"Brussels",2020-03-08,6,39,"Belgium","Europe"
"Brussels",2020-03-09,12,51,"Belgium","Europe"
"Brussels",2020-03-10,13,64,"Belgium","Europe"
"Brussels",2020-03-11,19,83,"Belgium","Europe"
"Brussels",2020-03-12,35,118,"Belgium","Europe"
"Brussels",2020-03-13,40,158,"Belgium","Europe"
"Brussels",2020-03-14,30,188,"Belgium","Europe"
"Brussels",2020-03-15,28,216,"Belgium","Europe"
"Brussels",2020-03-16,62,278,"Belgium","Europe"
"Brussels",2020-03-17,29,307,"Belgium","Europe"
"Brussels",2020-03-18,58,365,"Belgium","Europe"
"Brussels",2020-03-19,55,420,"Belgium","Europe"
"Brussels",2020-03-20,69,489,"Belgium","Europe"
